0,1,2,3,4,5,6,7,8,9
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation.",,,,,,,,,
FH 10,"June 25, 202421:26[125]",Falcon Heavy B5B1087 (core),"Kennedy, LC‑39A",GOES-U (GOES-19)[126],"5,000 kg (11,000 lb)",GTO,NOAA,Success,No attempt
B1072‑1 (side),Success (LZ‑1),,,,,,,,
B1086‑1 (side),Success (LZ‑2),,,,,,,,
"In September 2021, NASA awarded SpaceX a $152.5 million contract to provide launch services for the GOES-U weather satellite (renamed as GOES-19 after reaching geostationary orbit).[127] Fourth time a second stage featured Falcon medium coast mission-extension kit. Center core expended as side boosters landed on LZ-1 and 2.",,,,,,,,,
350,"June 27, 202411:14[128]",F9 B5B1062‑22,"Cape Canaveral, SLC‑40",Starlink: Group 10-3 (23 satellites),"~17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 23 Starlink v2 mini satellites to a 279 km (173 mi) orbit at an inclination of 53° to expand internet constellation. First booster to fly for the 22nd time, new record.",,,,,,,,,
351,"June 29, 202403:14[129]",F9 B5B1081‑8,"Vandenberg, SLC‑4E",NROL-186 (~21 Starshield satellites),Unknown,SSO,NRO,Success,Success (OCISLY)
The second launch of SpaceX/Northrop Grumman built Starshield satellites for the National Reconnaissance Office.,,,,,,,,,
352,"July 3, 202408:55[130]",F9 B5B1073‑16,"Cape Canaveral, SLC‑40",Starlink: Group 8-9 (20 satellites),"~16,300 kg (35,900 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 20 Starlink v2 mini satellites, including 13 with direct-to-cell connectivity, to a 535 km (332 mi) orbit at an inclination of 53° to expand internet constellation. 100th Starlink satellite launched with direct-to-cell connectivity.",,,,,,,,,
353,"July 8, 202423:30[131]",F9 B5B1076‑15,"Cape Canaveral, SLC‑40",Türksat 6A,"4,250 kg (9,370 lb)",GTO,Türksat,Success,Success (JRTI)
First domestically produced Turkish communications satellite.[132],,,,,,,,,
